Time LHx LHy LHz LSx LSy LSz RHx RHy RHz RSx RSy RSz LEx LEy LEz CSx CSy CSz REx REy REz v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24
7 -58.272493 -28.106129 226.201653 -58.297014 31.544366 244.58282 -17.857955 -29.526207 233.535624 -23.471563 31.365925 253.001666 -64.780271 5.259108 240.13927 -40.036234 64.742208 249.108624 -18.593925 3.578617 250.20802 0 0 0 0 -0.00011 0 0.000006 2.265869 -3.918149 -142.071114 134.234815 -152.825535 157.357272 -153.613023 113.296425 -107.847358 151.955581 -67.713236 -63.280644 -24.744579 -26.747686 79.796677 88.857889 0
43 -58.27055 -28.103524 226.204586 -58.292979 31.550157 244.601679 -17.860325 -29.526669 233.550668 -23.474215 31.367713 253.027439 -64.778537 5.263136 240.147257 -40.02994 64.725792 249.144244 -18.593101 3.581962 250.230646 0 0 0 0 -0.000065 0 0.00002 2.265948 -3.919197 -142.086928 134.248534 -152.830165 157.362062 -153.664509 113.300413 -107.946819 151.97859 -67.706245 -63.274746 -24.750698 -26.753351 79.797406 88.862508 0
75 -58.269262 -28.10019 226.20883 -58.289003 31.555548 244.620681 -17.863177 -29.526767 233.566236 -23.478006 31.368408 253.056288 -64.77837 5.267775 240.156794 -40.023696 64.714241 249.18437 -18.592714 3.585229 250.252366 0 0 0 0 -0.0002 0 0.000021 2.260337 -3.91657 -142.100487 134.267346 -152.835652 157.356327 -153.713637 113.341764 -108.04942 151.96809 -67.699803 -63.266878 -24.756379 -26.76096 79.797987 88.86765 0
109 -58.269477 -28.096196 226.213694 -58.285826 31.560686 244.640899 -17.865981 -29.526567 233.582306 -23.480138 31.370199 253.093386 -64.779627 5.272892 240.166712 -40.013316 64.680034 249.245691 -18.593308 3.588316 250.27597 0 0 0 0 0.000177 0 0.000026 2.261944 -3.915525 -142.117167 134.286117 -152.835259 157.359148 -153.778423 113.355735 -108.119798 151.973668 -67.693051 -63.260679 -24.76299 -26.7669 79.797163 88.87283 0
139 -58.27086 -28.090024 226.220846 -58.283108 31.565094 244.660497 -17.86848 -29.523888 233.597827 -23.482345 31.37171 253.12829 -64.781588 5.278253 240.176702 -40.008053 64.643562 249.299312 -18.594904 3.591854 250.301075 0 0 0 0 0.00003 0 0.000023 2.269886 -3.923007 -142.131685 134.28567 -152.834613 157.374385 -153.820189 113.29455 -108.191634 152.044065 -67.686531 -63.252259 -24.769365 -26.775139 79.796387 88.876425 0
171 -58.273172 -28.083596 226.228809 -58.280957 31.569168 244.681644 -17.870934 -29.520908 233.61299 -23.484689 31.373817 253.162551 -64.783984 5.284129 240.18712 -40.002602 64.627212 249.352169 -18.596616 3.595263 250.325537 0 0 0 0 -0.000332 0 0.000009 2.273418 -3.93157 -142.146912 134.283771 -152.833492 157.380328 -153.858478 113.243811 -108.248317 152.106487 -67.682034 -63.239623 -24.773881 -26.787691 79.795596 88.877973 0
203 -58.276486 -28.076527 226.238108 -58.278775 31.572041 244.701576 -17.87276 -29.517698 233.627653 -23.486865 31.375808 253.193688 -64.786476 5.290462 240.198135 -40.001765 64.598763 249.406433 -18.598188 3.59837 250.349712 0 0 0 0 -0.000401 0 0.000014 2.275902 -3.940145 -142.165596 134.285306 -152.8346 157.386405 -153.877945 113.198023 -108.317921 152.168524 -67.67818 -63.227087 -24.777442 -26.800155 79.795589 88.879257 0
236 -58.282584 -28.068104 226.25165 -58.277184 31.574839 244.721937 -17.874254 -29.514372 233.641577 -23.488866 31.377617 253.221989 -64.78821 5.29477 240.210819 -39.999303 64.587051 249.467397 -18.599589 3.600944 250.372982 0 0 0 0 -0.000566 0 0.000017 2.276088 -3.948969 -142.184771 134.286833 -152.834676 157.386853 -153.908847 113.167952 -108.370998 152.215684 -67.675183 -63.213898 -24.779633 -26.81331 79.796846 88.879775 0
273 -58.294177 -28.045553 226.278377 -58.275843 31.576502 244.741917 -17.875487 -29.510805 233.655667 -23.491164 31.379452 253.248453 -64.7892 5.297913 240.22398 -39.996102 64.580619 249.520278 -18.601309 3.603297 250.395203 0 0 0 0 -0.000753 0 0.000012 2.271335 -3.955775 -142.200331 134.288781 -152.840881 157.383552 -153.922573 113.147744 -108.434399 152.251722 -67.673535 -63.200492 -24.778611 -26.826694 79.802402 88.880027 0
304 -58.305264 -28.023344 226.304793 -58.274758 31.578565 244.762039 -17.876135 -29.507494 233.668184 -23.493527 31.381139 253.272748 -64.790177 5.301 240.237284 -39.988783 64.569831 249.570036 -18.602516 3.60559 250.41728 0 0 0 0 -0.001007 0 0.000014 2.262153 -3.962102 -142.216717 134.292512 -152.85608 157.380386 -153.936278 113.13541 -108.484689 152.283554 -67.680622 -63.188451 -24.767538 -26.83876 79.812293 88.879353 0
336 -58.322066 -27.990046 226.346493 -58.273786 31.5804 244.781208 -17.876634 -29.504892 233.679509 -23.495838 31.383324 253.295183 -64.791054 5.303603 240.250564 -39.981419 64.569545 249.61164 -18.603383 3.606947 250.439262 0 0 0 0 -0.001044 0 0.000008 2.250128 -3.966232 -142.228376 134.295912 -152.871087 157.371342 -153.932643 113.136856 -108.536129 152.300855 -67.687287 -63.174578 -24.757144 -26.85266 79.821559 88.878593 0
