Time LHx LHy LHz LSx LSy LSz RHx RHy RHz RSx RSy RSz LEx LEy LEz CSx CSy CSz REx REy REz v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24
3 -61.110604 -28.74721 235.757136 -61.607665 30.331504 255.476356 -20.791532 -29.634011 240.151143 -25.44277 30.763748 260.871983 -68.07453 5.526464 250.882506 -42.950767 63.775039 258.034992 -19.982931 3.681308 257.601881 0 0 0 0 -0.000165 0 0.000001 2.029736 -3.471491 -142.592329 135.649347 -151.773318 155.832791 -142.398489 119.446303 -111.520474 145.875816 -66.57394 -62.352108 -25.946457 -27.68009 79.473575 -88.768163 0
36 -61.125314 -28.70689 235.770679 -61.613107 30.332947 255.458927 -20.79283 -29.639643 240.136838 -25.44581 30.761179 260.850072 -68.077213 5.526633 250.850105 -42.947465 63.777018 258.010197 -19.984485 3.674623 257.58369 0 0 0 0 -0.000184 0 0 2.019858 -3.467419 -142.592326 135.657488 -151.806898 155.846614 -142.201943 119.392488 -111.572833 145.880294 -66.612742 -62.361152 -25.912332 -27.671044 79.469534 -88.76832 0
69 -61.128199 -28.702718 235.769558 -61.618799 30.334559 255.442262 -20.79391 -29.646152 240.120339 -25.450051 30.758095 260.82058 -68.079501 5.526197 250.819683 -42.945719 63.789469 257.981777 -19.985844 3.668645 257.567191 0 0 0 0 -0.000351 0 0.000003 1.996259 -3.454911 -142.585492 135.675671 -151.849847 155.842365 -141.97858 119.399372 -111.635027 145.837632 -66.651292 -62.365648 -25.875417 -27.666536 79.47213 -88.76862 0
101 -61.13013 -28.706452 235.765767 -61.625916 30.335876 255.426216 -20.795354 -29.65385 240.099812 -25.453591 30.753544 260.790443 -68.081421 5.525472 250.791788 -42.944357 63.802052 257.955503 -19.986939 3.663228 257.551956 0 0 0 0 -0.000351 0 0.000004 1.96496 -3.434712 -142.575843 135.706419 -151.886727 155.816648 -141.762782 119.497143 -111.69219 145.729018 -66.689053 -62.366018 -25.842045 -27.666143 79.468603 -88.76906 0
135 -61.130977 -28.716615 235.759306 -61.633629 30.337077 255.410957 -20.796774 -29.661459 240.079284 -25.458801 30.748931 260.757971 -68.083149 5.524943 250.765276 -42.944935 63.811094 257.929802 -19.987951 3.658203 257.537723 0 0 0 0 -0.000651 0 -0.000004 1.92876 -3.419123 -142.565471 135.727225 -151.924995 155.782516 -141.524076 119.577213 -111.764607 145.617651 -66.724165 -62.360494 -25.810391 -27.671683 79.466709 -88.768676 0
167 -61.131436 -28.728387 235.752583 -61.641526 30.338156 255.396318 -20.798483 -29.669994 240.057206 -25.46511 30.742884 260.723019 -68.084419 5.524601 250.741291 -42.946002 63.819385 257.906222 -19.987892 3.652119 257.522202 0 0 0 0 -0.000709 0 0.000001 1.887871 -3.400737 -142.555153 135.753679 -151.963879 155.73962 -141.290759 119.70185 -111.849072 145.469172 -66.757643 -62.353834 -25.779893 -27.678361 79.465614 -88.768225 0
201 -61.130941 -28.741372 235.745502 -61.64943 30.338717 255.381775 -20.800453 -29.677802 240.035582 -25.471458 30.737647 260.692644 -68.086529 5.522177 250.715923 -42.949146 63.821602 257.88064 -19.987796 3.646181 257.506895 0 0 0 0 -0.000607 0 0.000004 1.84487 -3.377042 -142.547341 135.793257 -152.001185 155.690925 -141.064455 119.85957 -111.932399 145.287422 -66.788294 -62.346753 -25.75162 -27.685569 79.46539 -88.765703 0
234 -61.129302 -28.756061 235.737205 -61.658138 30.339038 255.366683 -20.803024 -29.683477 240.012312 -25.479734 30.734 260.662723 -68.087888 5.51598 250.687385 -42.952052 63.823003 257.855701 -19.987974 3.640395 257.491279 0 0 0 0 -0.00061 0 -0.000005 1.806481 -3.358105 -142.542255 135.826045 -152.036704 155.649665 -140.833002 119.97569 -112.007468 145.131388 -66.820066 -62.339589 -25.72369 -27.692884 79.46218 -88.76271 0
269 -61.126804 -28.771266 235.728192 -61.66634 30.339003 255.351853 -20.805609 -29.688549 239.987087 -25.491193 30.730885 260.630417 -68.088794 5.509448 250.657988 -42.954621 63.817698 257.82795 -19.991429 3.632351 257.465839 0 0 0 0 -0.00087 0 -0.000002 1.763321 -3.342753 -142.537474 135.851969 -152.078458 155.605101 -140.573599 120.0895 -112.112238 144.96573 -66.853387 -62.329233 -25.694943 -27.703418 79.457652 -88.759181 0
301 -61.124134 -28.784686 235.719514 -61.676043 30.339274 255.336332 -20.808598 -29.69335 239.961672 -25.506839 30.727336 260.595655 -68.08939 5.501619 250.628257 -42.957914 63.81371 257.802463 -19.996293 3.623208 257.437325 0 0 0 0 -0.00055 0 -0.000002 1.731459 -3.328496 -142.534895 135.877904 -152.120882 155.5838 -140.318818 120.175597 -112.223408 144.849995 -66.887058 -62.327407 -25.666145 -27.705177 79.452558 -88.760416 0
340 -61.119843 -28.799447 235.708642 -61.687064 30.339184 255.319262 -20.81224 -29.6978 239.935112 -25.522092 30.724335 260.563302 -68.089676 5.493537 250.59948 -42.961422 63.810658 257.775021 -20.001653 3.613382 257.406068 0 0 0 0 -0.000488 0 0.000003 1.699196 -3.311886 -142.535508 135.911735 -152.165678 155.564069 -140.053531 120.278408 -112.346531 144.712302 -66.919854 -62.328485 -25.638468 -27.70396 79.446818 -88.763095 0
369 -61.126435 -28.75931 235.718799 -61.697757 30.338907 255.300093 -20.815642 -29.701632 239.909506 -25.536418 30.721796 260.533595 -68.090421 5.48576 250.571299 -42.967638 63.806814 257.745767 -20.007168 3.603781 257.375455 0 0 0 0 -0.000656 0 0.000001 1.673855 -3.307631 -142.544798 135.929537 -152.20783 155.55554 -139.795818 120.311781 -112.467236 144.614946 -66.949074 -62.330988 -25.614718 -27.701333 79.439759 -88.765483 0
