Time LHx LHy LHz LSx LSy LSz RHx RHy RHz RSx RSy RSz LEx LEy LEz CSx CSy CSz REx REy REz v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24
22 -61.858046 -28.007436 240.120721 -62.874502 31.058016 258.815622 -21.171831 -28.894272 245.906162 -27.389348 31.497532 266.716504 -69.215149 5.84507 253.763604 -43.934447 64.339608 262.32357 -21.89627 3.204966 262.743688 0 0 0 0 -0.000606 1 0.000008 2.772921 -4.751049 -142.952327 133.45023 -152.655431 158.201274 -143.268545 111.988698 -109.282995 153.123307 -68.454179 -62.340594 -24.630493 -27.68723 78.636234 88.854748 0
53 -61.860996 -27.904251 240.199304 -62.875915 31.059453 258.823276 -21.167044 -28.893879 245.911407 -27.388963 31.498402 266.717958 -69.215769 5.852454 253.772163 -43.940434 64.334333 262.312388 -21.887934 3.214863 262.761331 0 0 0 0 -0.000405 1 -0.000002 2.756658 -4.746247 -142.952493 133.459998 -152.643667 158.156982 -143.243838 112.069001 -109.001736 153.041471 -68.504658 -62.326926 -24.601793 -27.700876 78.603365 88.855036 0
86 -61.855543 -27.872625 240.233088 -62.876755 31.060484 258.829665 -21.161568 -28.895977 245.919538 -27.388105 31.49941 266.718888 -69.215149 5.858576 253.779697 -43.944603 64.330333 262.301707 -21.879651 3.224065 262.777781 0 0 0 0 -0.000364 1 0.000001 2.739684 -4.739605 -142.953293 133.474083 -152.630967 158.110334 -143.22879 112.162943 -108.72645 152.931999 -68.551999 -62.316493 -24.575347 -27.711009 78.571809 88.86109 0
119 -61.847806 -27.841237 240.268564 -62.876588 31.062052 258.834982 -21.151392 -28.903404 245.932484 -27.387041 31.500405 266.719675 -69.213927 5.866765 253.785634 -43.945855 64.331752 262.292027 -21.869414 3.229772 262.793899 0 0 0 0 -0.000333 1 -0.000001 2.724061 -4.733451 -142.953384 133.486483 -152.623883 158.072005 -143.213555 112.252633 -108.597485 152.824946 -68.576249 -62.313099 -24.562557 -27.714165 78.554249 88.865958 0
153 -61.83998 -27.784744 240.315461 -62.875891 31.063452 258.839512 -21.140502 -28.915733 245.949197 -27.385452 31.501341 266.72051 -69.212091 5.877386 253.791761 -43.944603 64.331418 262.280703 -21.858759 3.234742 262.808871 0 0 0 0 -0.000188 1 0 2.712804 -4.727552 -142.955893 133.500788 -152.616237 158.041844 -143.203906 112.351591 -108.446589 152.707293 -68.606752 -62.318297 -24.545357 -27.708947 78.534395 88.866464 0
190 -61.833537 -27.722511 240.36181 -62.874144 31.065419 258.844018 -21.128328 -28.928816 245.968294 -27.383515 31.502143 266.721058 -69.210273 5.887566 253.795886 -43.941647 64.331251 262.269998 -21.845916 3.241016 262.824082 0 0 0 0 0.000062 1 0 2.71054 -4.723512 -142.960068 133.513043 -152.601751 158.022831 -143.202924 112.445307 -108.244411 152.588886 -68.640945 -62.333411 -24.528506 -27.693839 78.507531 88.866545 0
221 -61.829913 -27.649042 240.410018 -62.871915 31.066889 258.847451 -21.116385 -28.942272 245.987105 -27.381086 31.50306 266.721535 -69.207507 5.899963 253.798103 -43.937647 64.331752 262.260008 -21.833065 3.246946 262.837934 0 0 0 0 0.000132 1 0.000002 2.709007 -4.718191 -142.966534 133.530151 -152.586774 158.004787 -143.200172 112.552517 -108.049671 152.449575 -68.673775 -62.353002 -24.512912 -27.674187 78.480718 88.868079 0
255 -61.806822 -27.655554 240.421081 -62.868804 31.068292 258.850217 -21.102716 -28.959677 246.010065 -27.375138 31.504741 266.723895 -69.204462 5.912173 253.799343 -43.931407 64.332962 262.248158 -21.818644 3.253914 262.852192 0 0 0 0 0.000101 1 0.000002 2.707721 -4.713994 -142.974301 133.546313 -152.575101 157.990544 -143.189358 112.6535 -107.870183 152.315795 -68.706746 -62.374092 -24.495895 -27.65302 78.456516 88.869973 0
288 -61.777294 -27.676842 240.421271 -62.865472 31.06972 258.852601 -21.085283 -28.978208 246.037412 -27.367374 31.507468 266.726732 -69.200712 5.926137 253.798366 -43.924215 64.336991 262.23793 -21.793586 3.274625 262.871742 0 0 0 0 0.000209 1 0.000002 2.715105 -4.715367 -142.983037 133.552303 -152.55827 157.988479 -143.182188 112.731359 -107.736576 152.196457 -68.733708 -62.404036 -24.485374 -27.623013 78.430283 88.871704 0
319 -61.743671 -27.70299 240.413928 -62.859023 31.07143 258.854103 -21.065393 -28.999883 246.068263 -27.357256 31.510088 266.729617 -69.193202 5.938478 253.794956 -43.914598 64.345527 262.227225 -21.770222 3.293443 262.887812 0 0 0 0 0.000431 1 0.000007 2.71754 -4.705368 -142.987727 133.576992 -152.539615 157.974695 -143.150722 112.875861 -107.628775 151.976 -68.757899 -62.443407 -24.478899 -27.583048 78.401149 88.884674 0
