Time LHx LHy LHz LSx LSy LSz RHx RHy RHz RSx RSy RSz LEx LEy LEz CSx CSy CSz REx REy REz v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24
18 -55.991721 -28.42212 240.822959 -56.67029 30.533689 260.257697 -16.256511 -30.071002 248.667336 -21.360922 31.234106 268.695498 -63.19316 5.115185 254.790616 -38.611755 64.090878 265.934277 -16.231236 3.716902 265.904808 0 0 0 0 -0.000283 0 -0.000003 1.861459 -4.668287 -143.540575 134.204 -152.648319 156.371237 -149.075228 117.609961 -112.596346 147.912955 -67.831832 -62.963529 -25.119607 -27.036535 78.784074 -89.945527 0
51 -55.992383 -28.418186 240.827894 -56.669736 30.532897 260.255289 -16.242875 -30.069679 248.673058 -21.355096 31.236929 268.701863 -63.192058 5.11998 254.787898 -38.615304 64.098954 265.926623 -16.228244 3.720845 265.906215 0 0 0 0 -0.000197 0 -0.000002 1.869767 -4.680448 -143.545473 134.184576 -152.656036 156.39557 -149.080356 117.540038 -112.581075 147.998698 -67.843882 -62.970834 -25.106749 -27.029198 78.78791 -89.961821 0
84 -55.991417 -28.417745 240.830755 -56.669188 30.532181 260.253024 -16.228904 -30.067939 248.679137 -21.350043 31.242022 268.708277 -63.190937 5.123921 254.785347 -38.628948 64.131385 265.922832 -16.224831 3.72512 265.907955 0 0 0 0 -0.000216 0 0.000001 1.879656 -4.694561 -143.549837 134.160715 -152.661988 156.421299 -149.083934 117.461731 -112.566633 148.090608 -67.855123 -62.978434 -25.095521 -27.021577 78.789941 -89.977899 0
115 -55.989081 -28.420296 240.831542 -56.668723 30.531529 260.250735 -16.21235 -30.065772 248.687077 -21.339735 31.25312 268.720746 -63.189864 5.127796 254.782796 -38.649091 64.180815 265.924716 -16.221264 3.729281 265.90941 0 0 0 0 -0.000241 0 -0.000001 1.889537 -4.709188 -143.55343 134.135055 -152.666266 156.445339 -149.087211 117.395812 -112.553328 148.169236 -67.864855 -62.98601 -25.086387 -27.013991 78.790523 -89.993848 0
160 -55.986446 -28.419486 240.832353 -56.668311 30.530897 260.248494 -16.194572 -30.062035 248.694563 -21.329138 31.266344 268.733978 -63.188744 5.131986 254.779673 -38.667881 64.225614 265.928388 -16.214824 3.739107 265.91146 0 0 0 0 -0.000627 0 0.000061 1.910016 -4.742044 -143.55683 134.072742 -152.669138 156.489171 -149.091473 117.229468 -112.541528 148.342513 -67.873454 -62.996106 -25.078829 -27.003897 78.790004 89.986535 0
186 -55.982834 -28.419274 240.831494 -56.667858 30.530572 260.246444 -16.17787 -30.057833 248.701429 -21.321666 31.277278 268.743563 -63.187778 5.136228 254.776311 -38.675776 64.241195 265.928102 -16.207244 3.748796 265.913272 0 0 0 0 -0.000633 0 -0.000008 1.930099 -4.774659 -143.560659 134.011341 -152.671115 156.531313 -149.091686 117.081499 -112.531443 148.488723 -67.881201 -63.007601 -25.072689 -26.992419 78.788191 89.96941 0
222 -55.979216 -28.418812 240.830231 -56.667411 30.5307 260.244942 -16.160092 -30.053318 248.706961 -21.314561 31.288245 268.753099 -63.187242 5.140466 254.772592 -38.682947 64.252818 265.927076 -16.199636 3.758354 265.915251 0 0 0 0 -0.00037 0 -0.000029 1.94498 -4.796896 -143.564439 133.970648 -152.671274 156.561235 -149.090068 117.001246 -112.522793 148.565812 -67.887407 -63.018169 -25.068632 -26.981873 78.785007 89.955637 0
254 -55.989254 -28.387406 240.837669 -56.666964 30.530921 260.243583 -16.140312 -30.048093 248.712969 -21.303846 31.305343 268.765712 -63.186795 5.143869 254.768276 -38.690013 64.265293 265.925646 -16.191235 3.769449 265.91785 0 0 0 0 -0.00042 0 -0.000005 1.959122 -4.819404 -143.569281 133.930473 -152.670822 156.589067 -149.087258 116.926483 -112.514789 148.643443 -67.893451 -63.026413 -25.065084 -26.973664 78.781097 89.940279 0
287 -55.990291 -28.381369 240.838528 -56.666708 30.531168 260.242581 -16.121291 -30.043277 248.718452 -21.293411 31.322658 268.778372 -63.18717 5.148983 254.764414 -38.69555 64.273477 265.924788 -16.182011 3.780993 265.920162 0 0 0 0 -0.001128 0 0.000043 1.972972 -4.855825 -143.574563 133.862913 -152.67889 156.624834 -149.085631 116.805684 -112.539352 148.766356 -67.893077 -63.035033 -25.062057 -26.965095 78.78787 89.923102 0
321 -55.99097 -28.376663 240.838909 -56.666553 30.531543 260.241652 -16.103292 -30.038226 248.722959 -21.281409 31.341317 268.79251 -63.189 5.157994 254.760075 -38.699514 64.279246 265.924478 -16.172716 3.792279 265.922666 0 0 0 0 -0.001019 0 -0.000015 1.989022 -4.892326 -143.581977 133.797326 -152.681382 156.659426 -149.089596 116.692734 -112.538287 148.875981 -67.899239 -63.043917 -25.056356 -26.956264 78.788073 89.908319 0
351 -55.991483 -28.373557 240.838885 -56.665993 30.532601 260.240293 -16.086304 -30.03343 248.726773 -21.269549 31.359065 268.806362 -63.190621 5.166687 254.755378 -38.702628 64.283526 265.924239 -16.164032 3.802193 265.924883 0 0 0 0 -0.001275 0 0.000001 2.007257 -4.936228 -143.594559 133.722102 -152.68063 156.695144 -149.10351 116.556377 -112.520267 149.004375 -67.908602 -63.05089 -25.048394 -26.949347 78.786978 89.89519 0
388 -55.992472 -28.37269 240.841103 -56.670284 30.539665 260.247684 -16.069902 -30.028149 248.730016 -21.258336 31.374946 268.819332 -63.20377 5.171271 254.775977 -38.706216 64.299643 265.928864 -16.15724 3.810407 265.92586 0 0 0 0 -0.00125 0 -0.000021 2.024708 -4.978942 -143.605895 133.64801 -152.68037 156.729785 -149.122871 116.418403 -112.500365 149.135116 -67.918619 -63.056554 -25.039627 -26.943743 78.786309 89.882667 0
419 -56.047171 -28.274304 240.921283 -56.676072 30.5489 260.258865 -16.054316 -30.02325 248.732758 -21.247892 31.389377 268.831611 -63.23666 5.194484 254.836178 -38.708302 64.305073 265.931773 -16.151665 3.816968 265.926194 0 0 0 0 0.000671 0 0.000024 2.068809 -5.009451 -143.596837 133.577935 -152.628876 156.766495 -149.265784 116.273728 -112.342947 149.281478 -67.895863 -63.061624 -25.067912 -26.938751 78.771009 89.868166 0
456 -56.085151 -28.213549 240.976882 -56.681871 30.561408 260.277843 -16.039519 -30.018333 248.73414 -21.24137 31.40381 268.840671 -63.271111 5.218031 254.903293 -38.710964 64.31061 265.936875 -16.144773 3.825213 265.926313 0 0 0 0 0.001475 0 0.000001 2.135985 -5.046616 -143.605584 133.512352 -152.531169 156.803139 -149.819883 116.132498 -111.780525 149.431456 -67.87901 -63.066019 -25.078302 -26.934447 78.780903 89.853054 0
487 -56.120086 -28.166214 241.027832 -56.687915 30.575258 260.300636 -16.025646 -30.011737 248.733449 -21.235235 31.41447 268.849397 -63.3075 5.242022 254.973388 -38.706258 64.288664 265.960431 -16.13896 3.832595 265.925407 0 0 0 0 0.002181 0 -0.000018 2.208716 -5.074843 -143.612627 133.462941 -152.410623 156.828055 -150.371766 116.064625 -111.240109 149.510679 -67.840765 -63.070011 -25.114881 -26.930535 78.777238 89.841132 0
519 -56.188726 -28.072199 241.128945 -56.694132 30.58922 260.325074 -16.011477 -30.003694 248.730874 -21.229374 31.4226 268.856478 -63.344818 5.265754 255.047655 -38.696003 64.247805 266.002727 -16.133499 3.839066 265.924072 0 0 0 0 0.002462 0 -0.000011 2.284218 -5.099956 -143.619812 133.419899 -152.283806 156.852241 -150.930394 115.992128 -110.689794 149.601791 -67.800056 -63.070855 -25.155116 -26.929777 78.77074 89.828969 0
551 -56.26297 -27.988291 241.239572 -56.700128 30.602247 260.349655 -15.997182 -29.994532 248.726773 -21.223125 31.429076 268.863535 -63.379276 5.285805 255.118895 -38.692912 64.158839 266.045499 -16.128777 3.843422 265.922332 0 0 0 0 0.001766 0 -0.000023 2.337429 -5.116912 -143.618636 133.384812 -152.19671 156.871568 -151.547186 115.953203 -110.091315 149.689556 -67.794466 -63.068132 -25.147794 -26.932601 78.795754 89.815822 0
585 -56.294543 -27.968043 241.289163 -56.7056 30.615947 260.377645 -15.983804 -29.985192 248.72191 -21.216859 31.433663 268.870497 -63.410586 5.303468 255.185556 -38.687089 64.066458 266.105819 -16.124737 3.846887 265.920854 0 0 0 0 0.001167 0 -0.000001 2.375344 -5.130791 -143.611195 133.349614 -152.139118 156.889805 -152.131931 115.910529 -109.531363 149.793319 -67.809616 -63.061695 -25.115005 -26.939157 78.834155 89.801356 0
620 -56.368762 -27.909538 241.394043 -56.710225 30.627891 260.404277 -15.972291 -29.977041 248.716855 -21.213856 31.43622 268.874097 -63.439071 5.319418 255.249166 -38.678974 63.948834 266.144061 -16.121116 3.849845 265.919375 0 0 0 0 0.002178 0 0.000027 2.431233 -5.141661 -143.599834 133.316512 -152.043494 156.90596 -152.642238 115.875191 -109.07363 149.900874 -67.783454 -63.053146 -25.137992 -26.947831 78.835821 89.787239 0
651 -56.403142 -27.888173 241.455865 -56.718874 30.646223 260.445714 -15.96179 -29.969347 248.711705 -21.211752 31.438166 268.876696 -63.46578 5.333645 255.309057 -38.675466 63.93441 266.179633 -16.117994 3.85263 265.917873 0 0 0 0 0.000334 0 0.000007 2.444212 -5.14772 -143.584269 133.28883 -152.024341 156.912766 -153.139337 115.888523 -108.649143 149.958396 -67.812911 -63.044803 -25.084841 -26.956287 78.88921 89.775308 0
683 -56.462795 -27.842927 241.548896 -56.729954 30.663389 260.488653 -15.952529 -29.962534 248.70646 -21.210206 31.439623 268.878651 -63.491768 5.346128 255.366135 -38.673118 63.921994 266.206336 -16.115201 3.855058 265.916467 0 0 0 0 0.001481 0 0.000041 2.467607 -5.140312 -143.554043 133.273419 -151.981969 156.917183 -153.34144 115.91356 -108.379165 150.004704 -67.810644 -63.036557 -25.082204 -26.964644 78.898761 89.76415 0
716 -56.490594 -27.829394 241.599607 -56.740987 30.679253 260.530353 -15.944433 -29.95747 248.70193 -21.209237 31.440791 268.880224 -63.514858 5.356885 255.417013 -38.670614 63.920599 266.231275 -16.112629 3.857402 265.91537 0 0 0 0 0.000479 0 0.000043 2.464878 -5.127586 -143.517951 133.262779 -151.989757 156.919513 -153.464228 115.950347 -108.173112 150.041649 -67.839655 -63.028409 -25.036899 -26.972893 78.937159 89.754372 0
748 -56.521052 -27.824396 241.649723 -56.753463 30.697367 260.575557 -15.937249 -29.953089 248.697758 -21.208256 31.441519 268.881631 -63.537216 5.364619 255.465031 -38.666189 63.930881 266.252184 -16.110049 3.859457 265.914392 0 0 0 0 0.001318 0 0.000042 2.478096 -5.113219 -143.481562 133.255124 -151.96494 156.921133 -153.527883 115.996837 -108.02184 150.067573 -67.837235 -63.021945 -25.035923 -26.979447 78.943638 89.746025 0
783 -56.573129 -27.806455 241.725707 -56.765229 30.713487 260.617113 -15.930898 -29.949462 248.693776 -21.207403 31.442004 268.882704 -63.557994 5.368534 255.509615 -38.661641 63.942325 266.271067 -16.107517 3.861834 265.913534 0 0 0 0 0.001108 0 0.000053 2.480796 -5.092659 -143.436543 133.251225 -151.960541 156.922134 -153.494598 116.046212 -107.948813 150.088373 -67.840865 -63.016068 -25.02626 -26.985401 78.95659 89.739068 0
816 -56.622845 -27.790016 241.795468 -56.775701 30.728385 260.65495 -15.92501 -29.946473 248.690057 -21.206637 31.442398 268.883657 -63.579005 5.370141 255.555487 -38.657856 63.956314 266.288042 -16.105036 3.864327 265.912962 0 0 0 0 0.000152 0 0.000054 2.463028 -5.071687 -143.392717 133.249344 -151.996408 156.922464 -153.465295 116.096257 -107.888899 150.103016 -67.874474 -63.011023 -24.975738 -26.990511 78.997183 89.733304 0
848 -56.670618 -27.774251 241.857457 -56.784779 30.737719 260.686874 -15.91987 -29.943907 248.686624 -21.206267 31.44277 268.884373 -63.598746 5.370532 255.598783 -38.655734 63.968384 266.302371 -16.102755 3.866693 265.912557 0 0 0 0 0.000437 0 0.000036 2.452349 -5.051771 -143.353053 133.249511 -152.017475 156.922173 -153.504809 116.145087 -107.792218 150.113528 -67.897098 -63.006461 -24.936867 -26.995133 79.034495 89.728165 0
885 -56.711972 -27.760333 241.912508 -56.793469 30.745977 260.716414 -15.915297 -29.941845 248.683619 -21.205246 31.443444 268.886209 -63.616562 5.369962 255.637884 -38.654986 63.974971 266.313481 -16.100548 3.869132 265.91239 0 0 0 0 0.000341 0 0.000015 2.445375 -5.037578 -143.326764 133.251609 -152.030163 156.920912 -153.599154 116.195951 -107.684911 150.117922 -67.911984 -63.002261 -24.905346 -26.999384 79.071273 89.723858 0
916 -56.736565 -27.747262 241.953349 -56.801891 30.749413 260.742569 -15.910819 -29.940069 248.680663 -21.206151 31.442812 268.885946 -63.632458 5.368499 255.674148 -38.669521 63.834947 266.315722 -16.099404 3.870586 265.912008 0 0 0 0 0.000326 0 0.000013 2.440914 -5.02619 -143.301797 133.249417 -152.040301 156.922128 -153.676407 116.23141 -107.592812 150.131933 -67.923967 -62.998711 -24.879581 -27.002977 79.101735 89.720297 0
951 -56.749153 -27.753639 241.978002 -56.810397 30.751851 260.767341 -15.906543 -29.938313 248.677683 -21.208405 31.442213 268.88485 -63.648218 5.367783 255.709291 -38.68165 63.715506 266.319919 -16.098464 3.871775 265.911674 0 0 0 0 0.000844 0 0.000012 2.447137 -5.014405 -143.281196 133.252385 -152.025425 156.919699 -153.750634 116.288053 -107.477053 150.129969 -67.921186 -62.995038 -24.877792 -27.00671 79.110634 89.715271 0
983 -56.761789 -27.76081 242.004681 -56.81929 30.753654 260.790634 -15.902008 -29.936323 248.67506 -21.210086 31.441802 268.884254 -63.661969 5.362961 255.74224 -38.68444 63.683605 266.32266 -16.097686 3.87282 265.911341 0 0 0 0 0.001168 0 0.000009 2.459147 -5.001434 -143.262273 133.259405 -151.996136 156.91443 -153.855369 116.372293 -107.356715 150.113096 -67.909582 -62.991103 -24.889425 -27.010708 79.108489 89.710239 0
1040 -56.772059 -27.769202 242.027807 -56.827545 30.755413 260.811663 -15.89746 -29.934821 248.672771 -21.215992 31.440961 268.882132 -63.67445 5.357717 255.772233 -38.686651 63.660014 266.324949 -16.097026 3.873629 265.910935 0 0 0 0 0.00109 0 0.000007 2.467368 -4.986211 -143.238782 133.266361 -151.976438 156.911175 -153.933045 116.445897 -107.256432 150.106356 -67.901957 -62.98739 -24.896561 -27.014492 79.108126 89.704569 0
1052 -56.779265 -27.779767 242.047787 -56.836039 30.755395 260.831475 -15.893437 -29.933536 248.670936 -21.232536 31.436405 268.8761 -63.685566 5.352185 255.799842 -38.690594 63.513446 266.278601 -16.096573 3.874103 265.910578 0 0 0 0 0.001335 0 0.000017 2.472632 -4.962724 -143.215324 133.289876 -151.957263 156.902528 -154.003549 116.564157 -107.163285 150.056084 -67.894061 -62.984398 -24.904626 -27.01756 79.106362 89.698701 0
1084 -56.786972 -27.790207 242.066574 -56.844008 30.754754 260.849428 -15.889214 -29.932404 248.6696 -21.249615 31.43214 268.870234 -63.695997 5.345071 255.825067 -38.696572 63.476384 266.268826 -16.096134 3.874508 265.910435 0 0 0 0 0.001925 0 0.000067 2.469118 -4.917636 -143.194069 133.358797 -151.939914 156.87815 -154.047171 116.802545 -107.086756 149.892138 -67.886354 -62.981868 -24.913497 -27.02016 79.102584 89.69331 0
1119 -56.793505 -27.800685 242.08324 -56.855327 30.757478 260.872006 -15.885252 -29.931396 248.668599 -21.260934 31.428686 268.86673 -63.70874 5.342148 255.853319 -38.705054 63.486278 266.2709 -16.095747 3.874872 265.910339 0 0 0 0 0.00177 0 -0.000016 2.464341 -4.874503 -143.178194 133.429187 -151.925069 156.853752 -154.088793 117.040213 -107.01726 149.723527 -67.879252 -62.979782 -24.92122 -27.022322 79.100032 89.687595 0
1151 -56.820232 -27.796286 242.120528 -56.867445 30.760461 260.893726 -15.881751 -29.930529 248.667979 -21.270795 31.428552 268.864465 -63.721228 5.339982 255.880499 -38.71567 63.50528 266.276121 -16.095388 3.875241 265.910316 0 0 0 0 0.001702 0 -0.000046 2.46529 -4.838461 -143.155071 133.478148 -151.908135 156.838715 -154.06187 117.200984 -106.970538 149.6169 -67.86754 -62.978137 -24.934913 -27.024041 79.093858 89.682197 0
1184 -56.844348 -27.792814 242.154765 -56.882238 30.763873 260.916281 -15.878546 -29.92976 248.667622 -21.2804 31.429088 268.862534 -63.732773 5.335669 255.907536 -38.726503 63.529676 266.282916 -16.095033 3.875573 265.910387 0 0 0 0 0.00074 0 -0.00002 2.4508 -4.807837 -143.129554 133.513879 -151.925513 156.827113 -154.014302 117.334083 -106.958811 149.528139 -67.87671 -62.977007 -24.917323 -27.025236 79.112835 89.677453 0
1220 -56.859225 -27.784044 242.189217 -56.896132 30.767131 260.936975 -15.876582 -29.929543 248.667431 -21.289158 31.430271 268.861532 -63.744313 5.330143 255.934 -38.73556 63.552177 266.289353 -16.09464 3.876011 265.910554 0 0 0 0 0.000878 0 0 2.434533 -4.772377 -143.092257 133.547502 -151.947111 156.816177 -153.90017 117.457888 -106.98749 149.441834 -67.881158 -62.976143 -24.905297 -27.026161 79.129251 89.673148 0
1253 -56.867653 -27.786157 242.210221 -56.912535 30.768123 260.957122 -15.874855 -29.92973 248.667383 -21.297343 31.431755 268.860865 -63.755053 5.32471 255.958652 -38.739774 63.554609 266.290498 -16.094199 3.876626 265.910816 0 0 0 0 0.00119 0 -0.000002 2.428381 -4.74011 -143.05688 133.576659 -151.950288 156.807049 -153.811766 117.564637 -106.947097 149.363181 -67.884097 -62.97582 -24.902453 -27.026517 79.12958 89.67078 0
1287 -56.874502 -27.788877 242.228723 -56.927252 30.770865 260.975313 -15.873268 -29.930127 248.667789 -21.305445 31.433684 268.860745 -63.765341 5.318685 255.981064 -38.749427 63.565564 266.292167 -16.093811 3.877401 265.911245 0 0 0 0 0.001239 0 0.000005 2.423525 -4.70798 -143.018913 133.602952 -151.95196 156.79901 -153.672633 117.662485 -106.958993 149.289415 -67.877151 -62.975959 -24.910764 -27.026405 79.125523 89.668846 0
1321 -56.881112 -27.800348 242.248821 -56.942409 30.774295 260.993004 -15.872128 -29.930568 248.668623 -21.314104 31.43656 268.861318 -63.77542 5.309376 256.002855 -38.759965 63.579625 266.293097 -16.093487 3.878134 265.911818 0 0 0 0 0.001274 0 0.000007 2.42084 -4.677175 -142.982985 133.628635 -151.950603 156.792283 -153.563575 117.756621 -106.958061 149.218515 -67.869968 -62.976736 -24.920118 -27.025654 79.119762 89.667044 0
1351 -56.892717 -27.777576 242.295694 -56.960255 30.778772 261.012506 -15.871297 -29.9312 248.669696 -21.324171 31.441286 268.863583 -63.78448 5.299918 256.022859 -38.775122 63.634306 266.289639 -16.093361 3.878946 265.912557 0 0 0 0 0.00125 0 0.000013 2.41531 -4.64399 -142.941452 133.653472 -151.955567 156.786188 -153.445868 117.84903 -106.954978 149.145226 -67.869177 -62.977898 -24.923054 -27.02451 79.1152 89.665822 0
1387 -56.901073 -27.758837 242.33489 -56.976956 30.783173 261.030555 -15.871133 -29.931784 248.671889 -21.334268 31.4459 268.866372 -63.793105 5.290259 256.04167 -38.792846 63.695592 266.287112 -16.093333 3.879764 265.913439 0 0 0 0 0.001136 0 0.000029 2.402643 -4.606093 -142.889888 133.677701 -151.976701 156.781987 -153.243527 117.937805 -106.935868 149.071014 -67.889299 -62.97934 -24.908547 -27.023083 79.107239 89.664765 0
1419 -56.908995 -27.753049 242.360759 -56.992126 30.786794 261.046195 -15.871257 -29.932946 248.674631 -21.3438 31.450346 268.869662 -63.80136 5.28027 256.058955 -38.803244 63.721222 266.284943 -16.093343 3.880574 265.914345 0 0 0 0 0.001207 0 0.00002 2.394126 -4.57069 -142.844064 133.702685 -151.991039 156.779291 -153.058887 118.019113 -106.918431 148.996513 -67.902573 -62.982066 -24.901549 -27.02036 79.096709 89.664566 0
1455 -56.92122 -27.756029 242.38739 -57.004261 30.789864 261.059093 -15.871333 -29.936245 248.681068 -21.354182 31.456077 268.874168 -63.808864 5.27045 256.076026 -38.819122 63.768995 266.292715 -16.093364 3.881779 265.916085 0 0 0 0 0.001156 0 0.000012 2.3881 -4.538836 -142.803265 133.725593 -152.002581 156.778781 -152.908098 118.090175 -106.92844 148.928578 -67.905985 -62.985886 -24.901272 -27.016537 79.090878 89.664745 0
1489 -56.928861 -27.756903 242.407131 -57.015336 30.79263 261.070657 -15.871656 -29.939967 248.688316 -21.362922 31.460413 268.878746 -63.815993 5.260741 256.092525 -38.83293 63.810837 266.30168 -16.093482 3.882534 265.91785 0 0 0 0 0.000946 0 0.000006 2.381998 -4.511528 -142.770937 133.74788 -152.019215 156.783211 -152.82258 118.162386 -106.921247 148.852175 -67.915392 -62.995291 -24.890585 -27.007132 79.095201 89.664845 0
1521 -56.937277 -27.761069 242.426014 -57.025379 30.795109 261.081004 -15.872037 -29.94372 248.695946 -21.371655 31.465039 268.883443 -63.822502 5.250873 256.108069 -38.845041 63.839179 266.311502 -16.093625 3.883175 265.919805 0 0 0 0 0.001156 0 0.000003 2.383194 -4.486755 -142.74121 133.7677 -152.023655 156.790043 -152.75817 118.21807 -106.903948 148.789096 -67.91494 -63.005733 -24.891974 -26.996686 79.093193 89.665169 0
1556 -56.942517 -27.762198 242.438674 -57.034373 30.797303 261.090159 -15.872307 -29.947439 248.703241 -21.379483 31.469139 268.887973 -63.828552 5.241755 256.122994 -38.853839 63.857698 266.319537 -16.09363 3.883747 265.922499 0 0 0 0 0.001025 0 0.000004 2.383152 -4.463618 -142.713602 133.786366 -152.030588 156.796891 -152.707069 118.272635 -106.887938 148.72546 -67.916276 -63.016373 -24.890269 -26.986041 79.094192 89.665541 0
1588 -56.947166 -27.763677 242.44957 -57.043558 30.799791 261.0991 -15.872563 -29.951122 248.710561 -21.386191 31.472686 268.8936 -63.834327 5.234032 256.13637 -38.869575 63.920087 266.346931 -16.093749 3.884256 265.925288 0 0 0 0 0.001094 0 0.000003 2.386792 -4.442522 -142.688191 133.803147 -152.027782 156.801366 -152.672673 118.324851 -106.869221 148.663944 -67.908439 -63.0255 -24.898974 -26.976909 79.090998 89.665956 0
1621 -56.950539 -27.76581 242.457867 -57.05325 30.801368 261.10754 -15.872677 -29.954427 248.717451 -21.393883 31.47704 268.89956 -63.839763 5.226466 256.148815 -38.885432 63.967443 266.37361 -16.093832 3.884977 265.928173 0 0 0 0 0.001048 0 0.000004 2.390796 -4.422776 -142.662199 133.816647 -152.027091 156.808684 -152.621045 118.356454 -106.86459 148.61976 -67.901336 -63.034462 -24.907003 -26.967944 79.08782 89.666178 0
1652 -56.953007 -27.767888 242.464542 -57.061142 30.802885 261.114931 -15.872568 -29.957122 248.723745 -21.401362 31.481427 268.905449 -63.84477 5.219589 256.159902 -38.9011 64.014298 266.400957 -16.09429 3.884931 265.931225 0 0 0 0 0.001036 0 0.000006 2.394288 -4.40272 -142.636235 133.830794 -152.026306 156.814882 -152.556435 118.393571 -106.872066 148.569678 -67.892381 -63.042605 -24.917223 -26.959801 79.083609 89.666238 0
