Time LHx LHy LHz LSx LSy LSz RHx RHy RHz RSx RSy RSz LEx LEy LEz CSx CSy CSz REx REy REz v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24
6 -57.402158 -26.891172 241.375661 -57.445449 30.982867 260.415602 -16.719209 -29.168516 248.059511 -22.155143 31.35362 267.977786 -63.368374 5.143756 255.0385 -39.120615 64.179194 265.512419 -17.199337 3.40584 264.396524 0 0 0 0 -0.000274 0 0.000009 1.847979 -3.569529 -141.376672 134.237615 -154.974832 158.670791 -140.507942 113.611449 -122.271411 154.003977 -67.245409 -63.36184 -24.957346 -26.650646 80.292227 89.242694 0
37 -57.38492 -26.897401 241.373682 -57.438934 30.979863 260.413241 -16.721129 -29.179674 248.060775 -22.150286 31.351781 267.982149 -63.366324 5.144598 255.037165 -39.108041 64.178032 265.511584 -17.200755 3.405101 264.400363 0 0 0 0 -0.000002 0 -0.000001 1.861845 -3.583428 -141.393595 134.226739 -154.953496 158.677187 -140.573914 113.566739 -122.162547 154.038848 -67.252255 -63.36736 -24.956725 -26.645046 80.278977 89.245154 0
69 -57.36047 -26.916766 241.364098 -57.431489 30.97665 260.410786 -16.723256 -29.192919 248.061657 -22.14648 31.350958 267.986751 -63.364244 5.145447 255.035901 -39.096829 64.177048 265.510345 -17.202157 3.403859 264.403248 0 0 0 0 0.000319 0 0.000006 1.880601 -3.597411 -141.405886 134.211064 -154.925055 158.686257 -140.624271 113.504784 -122.047442 154.089638 -67.257395 -63.371078 -24.961697 -26.641297 80.256559 89.246162 0
104 -57.349956 -26.916417 241.365409 -57.424921 30.973989 260.408831 -16.725448 -29.206651 248.062038 -22.143131 31.350476 267.990994 -63.362217 5.146375 255.034733 -39.086628 64.177281 265.509486 -17.203747 3.402896 264.405918 0 0 0 0 0.000671 0 0.000003 1.905619 -3.612341 -141.421942 134.19726 -154.886814 158.698052 -140.684415 113.445799 -121.919754 154.13585 -67.259982 -63.376708 -24.972262 -26.635623 80.226837 89.24754 0
134 -57.342929 -26.914504 241.367531 -57.418954 30.971697 260.407305 -16.726401 -29.217908 248.062015 -22.140159 31.35027 267.995 -63.360298 5.1476 255.03397 -39.070877 64.180636 265.514684 -17.205293 3.402003 264.408588 0 0 0 0 0.000209 0 -0.000005 1.921509 -3.625084 -141.434602 134.184434 -154.866541 158.709559 -140.730249 113.390905 -121.823496 154.180162 -67.265022 -63.382475 -24.973547 -26.629818 80.213166 89.248742 0
169 -57.329595 -26.921695 241.364837 -57.414442 30.969977 260.406327 -16.726957 -29.230896 248.061061 -22.137113 31.350157 267.999101 -63.35817 5.149044 255.03304 -39.057061 64.190841 265.521026 -17.208044 3.401526 264.414191 0 0 0 0 0.000072 0 -0.000003 1.933739 -3.636229 -141.445517 134.17306 -154.851606 158.719084 -140.768664 113.341202 -121.745906 154.224327 -67.269498 -63.38599 -24.973161 -26.626328 80.204526 89.248027 0
201 -57.313502 -26.935643 241.361284 -57.410389 30.968505 260.405588 -16.727218 -29.244798 248.059559 -22.134256 31.350151 268.00313 -63.355953 5.150596 255.032182 -39.047745 64.196229 265.525103 -17.21085 3.401356 264.419603 0 0 0 0 -0.000015 0 0 1.94405 -3.646767 -141.453466 134.159932 -154.833955 158.722055 -140.769322 113.285482 -121.678558 154.276225 -67.273468 -63.385607 -24.976261 -26.626814 80.189022 89.244873 0
237 -57.306999 -26.93654 241.365123 -57.405752 30.967066 260.404706 -16.727789 -29.266942 248.054433 -22.13157 31.350327 268.006945 -63.353193 5.152222 255.031013 -39.039925 64.202452 265.528607 -17.212945 3.400659 264.423895 0 0 0 0 0.000052 0 -0.000002 1.954499 -3.656429 -141.459578 134.146721 -154.816696 158.725693 -140.763208 113.23094 -121.608815 154.329018 -67.280576 -63.385586 -24.977508 -26.626956 80.171114 89.241198 0
269 -57.302064 -26.936206 241.369915 -57.401085 30.965009 260.404158 -16.728206 -29.288512 248.049092 -22.129126 31.350335 268.010569 -63.350141 5.153991 255.029726 -39.032543 64.201939 265.530348 -17.214964 3.399929 264.42759 0 0 0 0 -0.000285 0 -0.000003 1.95971 -3.666018 -141.46736 134.135325 -154.811716 158.731136 -140.760519 113.180519 -121.555955 154.3791 -67.290034 -63.387463 -24.971286 -26.625143 80.165244 89.239294 0
305 -57.292581 -26.934421 241.372538 -57.396567 30.962944 260.403705 -16.728495 -29.308057 248.044205 -22.126898 31.351003 268.014455 -63.347107 5.155172 255.028296 -39.026567 64.201528 265.531492 -17.216812 3.399754 264.431524 0 0 0 0 -0.000333 0 -0.000002 1.963501 -3.674942 -141.474687 134.124802 -154.810221 158.737224 -140.748956 113.131832 -121.512551 154.428097 -67.300211 -63.389448 -24.963266 -26.623226 80.161946 89.237256 0
