Time LHx LHy LHz LSx LSy LSz RHx RHy RHz RSx RSy RSz LEx LEy LEz CSx CSy CSz REx REy REz v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24
14 -14.114036 -35.019237 178.467822 -11.776976 25.675169 188.233221 27.225873 -31.685361 177.507925 22.015895 26.266158 188.269162 -15.238461 -1.460129 186.467004 4.999559 59.804302 186.141121 26.614448 -1.515083 186.193347 0 0 0 0 -0.000582 0 0.000002 -0.524194 0.107582 -135.071567 135.286731 -166.716948 165.668561 -114.344722 122.889056 -125.662199 132.826041 -76.601191 -73.964411 -13.53203 -16.075685 88.140344 88.894864 0
43 -14.110777 -35.01828 178.460538 -11.775957 25.673103 188.229167 27.230844 -31.700438 177.496088 22.015466 26.265177 188.274431 -15.238668 -1.45815 186.460447 5.001543 59.803998 186.137819 26.613715 -1.515512 186.197758 0 0 0 0 -0.000515 0 0.000002 -0.527684 0.102492 -135.080209 135.285193 -166.712923 165.657555 -114.34595 122.860319 -125.641165 132.924146 -76.600342 -73.943072 -13.533887 -16.097744 88.133236 88.884314 0
75 -14.107785 -35.017303 178.453958 -11.775029 25.67091 188.225472 27.235565 -31.713521 177.486026 22.01492 26.26431 188.279974 -15.238765 -1.456376 186.454856 5.003133 59.803522 186.134803 26.613098 -1.515875 186.202252 0 0 0 0 -0.000515 0 0.000001 -0.531213 0.097404 -135.087038 135.281847 -166.710232 165.647806 -114.343824 122.819775 -125.631219 133.026141 -76.599606 -73.922043 -13.535431 -16.119439 88.127549 88.874573 0
109 -14.105064 -35.016036 178.448141 -11.774492 25.669283 188.222849 27.239415 -31.723395 177.477741 22.014405 26.263663 188.285887 -15.238853 -1.454517 186.450052 5.004605 59.803134 186.132038 26.612595 -1.515491 186.20708 0 0 0 0 -0.000447 0 0.000001 -0.533778 0.09245 -135.093797 135.278698 -166.706945 165.63939 -114.344661 122.779228 -125.619403 133.119774 -76.598354 -73.903027 -13.5374 -16.139087 88.122479 88.865429 0
142 -14.102624 -35.01488 178.443146 -11.774024 25.667742 188.220644 27.242309 -31.732672 177.469158 22.01395 26.263061 188.292074 -15.238905 -1.452946 186.446166 5.005836 59.802926 186.12932 26.611981 -1.515312 186.211801 0 0 0 0 -0.000405 0 0 -0.536982 0.088817 -135.097667 135.2753 -166.704929 165.630964 -114.335131 122.738448 -125.622049 133.200876 -76.596983 -73.8853 -13.539424 -16.157326 88.117864 88.857985 0
174 -14.100696 -35.01344 178.439331 -11.773776 25.666451 188.218975 27.244321 -31.740537 177.461469 22.013196 26.26217 188.298535 -15.239044 -1.451105 186.442995 5.007025 59.802806 186.12659 26.611489 -1.514859 186.216462 0 0 0 0 -0.000425 0 0 -0.540305 0.084947 -135.101137 135.271032 -166.702515 165.621906 -114.32848 122.69133 -125.621649 133.281207 -76.595385 -73.866841 -13.541598 -16.176184 88.113767 88.852062 0
213 -14.099056 -35.012013 178.436244 -11.773665 25.665429 188.217819 27.246001 -31.747943 177.454078 22.012527 26.2613 188.304901 -15.239136 -1.449453 186.44067 5.008439 59.802479 186.123085 26.611051 -1.514593 186.221039 0 0 0 0 -0.000363 0 0 -0.544134 0.082603 -135.103427 135.268633 -166.701034 165.612765 -114.320517 122.644916 -125.622533 133.349607 -76.594527 -73.849477 -13.54294 -16.193816 88.110368 88.847923 0
242 -14.097504 -35.010234 178.433633 -11.773776 25.664094 188.216972 27.247536 -31.754401 177.447534 22.011642 26.26026 188.311088 -15.239272 -1.447644 186.439013 5.008908 59.800601 186.118448 26.610637 -1.514249 186.225533 0 0 0 0 -0.000344 0 0 -0.547991 0.080578 -135.10452 135.265676 -166.699523 165.603542 -114.312411 122.598841 -125.624789 133.414023 -76.593404 -73.832462 -13.544465 -16.211051 88.107515 88.844459 0
279 -14.09623 -35.008827 178.431726 -11.774006 25.662515 188.216424 27.248687 -31.759542 177.441907 22.010721 26.25916 188.317084 -15.239291 -1.446312 186.438119 5.00882 59.796864 186.111748 26.609975 -1.513525 186.230576 0 0 0 0 -0.000287 0 0 -0.551381 0.079041 -135.105581 135.263664 -166.69745 165.594688 -114.304941 122.55761 -125.62536 133.47097 -76.591898 -73.81664 -13.546361 -16.227076 88.104731 88.841267 0
310 -14.095098 -35.007441 178.430307 -11.774328 25.661147 188.216329 27.249503 -31.765071 177.436316 22.00978 26.258194 188.322949 -15.2393 -1.444906 186.437964 5.008049 59.794104 186.104739 26.609376 -1.513479 186.236107 0 0 0 0 -0.00031 0 0 -0.555275 0.077599 -135.106486 135.261683 -166.695366 165.584815 -114.298505 122.522884 -125.626307 133.520675 -76.59025 -73.800996 -13.548303 -16.242906 88.102594 88.838288 0
346 -14.094256 -35.006112 178.429401 -11.774767 25.659826 188.216567 27.248082 -31.770587 177.429712 22.008801 26.257253 188.328564 -15.239461 -1.443297 186.438692 5.006805 59.791356 186.0973 26.608813 -1.513373 186.241746 0 0 0 0 -0.000345 0 0 -0.560122 0.076477 -135.106576 135.25953 -166.692912 165.572668 -114.292378 122.496152 -125.626872 133.561321 -76.588233 -73.784418 -13.550574 -16.259615 88.100718 88.836027 0
378 -14.093474 -35.005084 178.428876 -11.77592 25.65766 188.217771 27.24677 -31.775567 177.424145 22.007704 26.256073 188.334167 -15.23985 -1.441936 186.440229 5.000327 59.779519 186.081898 26.608127 -1.513265 186.247373 0 0 0 0 -0.000452 0 0.000001 -0.566748 0.075259 -135.106591 135.25711 -166.689367 165.55587 -114.290846 122.474467 -125.620802 133.582538 -76.585717 -73.765894 -13.553303 -16.277953 88.09909 88.837912 0
413 -14.092767 -35.003763 178.428805 -11.77784 25.655296 188.220155 27.244666 -31.780419 177.41996 22.00657 26.254895 188.339603 -15.240124 -1.440081 186.443067 4.992996 59.767544 186.065912 26.607487 -1.513173 186.253095 0 0 0 0 -0.000382 0 0 -0.572713 0.074573 -135.105949 135.255096 -166.686027 165.540602 -114.27903 122.453447 -125.625729 133.602823 -76.582532 -73.748941 -13.556734 -16.294758 88.097192 88.839345 0
446 -14.092055 -35.002363 178.429091 -11.780366 25.65279 188.22366 27.242252 -31.785628 177.416158 22.005406 26.253793 188.3448 -15.240452 -1.438049 186.44737 4.985134 59.758013 186.050558 26.606965 -1.5135 186.258781 0 0 0 0 -0.000298 0 0.000001 -0.578642 0.075299 -135.102504 135.253102 -166.683003 165.525719 -114.254173 122.436766 -125.649301 133.609538 -76.578055 -73.734159 -13.561396 -16.309283 88.095632 88.84228 0
480 -14.09138 -35.000977 178.429592 -11.783262 25.650418 188.227975 27.239123 -31.791195 177.412784 22.004129 26.252663 188.349926 -15.240967 -1.435999 186.45277 4.977122 59.748858 186.035836 26.606533 -1.51414 186.264729 0 0 0 0 -0.000216 0 0.000001 -0.584197 0.077057 -135.097141 135.251256 -166.678882 165.510487 -114.222343 122.424766 -125.68094 133.608121 -76.571827 -73.720076 -13.567803 -16.323056 88.093992 88.845986 0
510 -14.090922 -35.000125 178.430104 -11.786483 25.648233 188.233268 27.235204 -31.797719 177.409208 22.002549 26.251096 188.355184 -15.241602 -1.434903 186.460567 4.969596 59.74012 186.022508 26.606092 -1.515462 186.270916 0 0 0 0 -0.000166 0 0.000002 -0.589749 0.079689 -135.090406 135.249785 -166.673402 165.493903 -114.18862 122.418828 -125.713512 133.59439 -76.564191 -73.706305 -13.57564 -16.33641 88.092116 88.851151 0
545 -14.090462 -34.999147 178.430867 -11.79015 25.647035 188.240886 27.231249 -31.804112 177.405989 22.000901 26.249239 188.360572 -15.24228 -1.433597 186.470222 4.962809 59.734017 186.012042 26.60569 -1.516852 186.276996 0 0 0 0 0.000024 0 0.000003 -0.593918 0.084286 -135.081963 135.250535 -166.663331 165.475494 -114.162764 122.417358 -125.737998 133.571438 -76.552545 -73.691904 -13.587424 -16.35029 88.090411 88.857746 0
574 -14.089833 -34.998134 178.432012 -11.794614 25.646901 188.252091 27.228251 -31.810567 177.403295 21.99875 26.247001 188.365996 -15.243092 -1.432424 186.481476 4.956012 59.727609 186.002469 26.605406 -1.518682 186.282921 0 0 0 0 0.00022 0 0.000005 -0.597413 0.091689 -135.069167 135.252544 -166.652698 165.457873 -114.1204 122.414495 -125.78438 133.547889 -76.538337 -73.678217 -13.601753 -16.363452 88.088656 88.864461 0
615 -14.089359 -34.997064 178.434122 -11.799598 25.647092 188.265681 27.2259 -31.819466 177.400744 21.996418 26.244453 188.37142 -15.243916 -1.431377 186.495554 4.950857 59.72321 185.99546 26.604992 -1.522234 186.28906 0 0 0 0 0.000448 0 0.000011 -0.601378 0.103639 -135.04987 135.257147 -166.64434 165.441584 -114.040675 122.417649 -125.87855 133.524366 -76.522108 -73.665536 -13.618155 -16.375726 88.086406 88.869634 0
642 -14.089121 -34.995744 178.437293 -11.804692 25.648293 188.281703 27.223867 -31.828034 177.398503 21.993804 26.24166 188.377082 -15.244108 -1.430045 186.511898 4.946329 59.719604 185.990083 26.604441 -1.525805 186.295056 0 0 0 0 0.00062 0 0.000013 -0.60401 0.117354 -135.027558 135.262267 -166.63398 165.425959 -113.952503 122.424387 -125.984261 133.504502 -76.502809 -73.653113 -13.637562 -16.387846 88.084407 88.873419 0
679 -14.088897 -34.993887 178.441262 -11.810407 25.650591 188.301122 27.222154 -31.833264 177.396917 21.990959 26.239011 188.382792 -15.244591 -1.427999 186.530626 4.941992 59.716654 185.985887 26.60394 -1.527592 186.300838 0 0 0 0 0.000794 0 0.000018 -0.606377 0.133978 -135.001043 135.268999 -166.624548 165.411795 -113.848721 122.42994 -126.120031 133.489298 -76.481573 -73.641311 -13.658675 -16.399409 88.083865 88.876359 0
710 -14.088763 -34.992433 178.445506 -11.816137 25.653845 188.324153 27.220765 -31.838065 177.395856 21.987991 26.236469 188.38861 -15.244958 -1.427015 186.552572 4.937956 59.714156 185.982597 26.603431 -1.529228 186.3065 0 0 0 0 0.001002 0 0.000024 -0.608233 0.153886 -134.969651 135.277424 -166.61504 165.398574 -113.722032 122.437293 -126.283589 133.4735 -76.457857 -73.630237 -13.682307 -16.410286 88.082896 88.878749 0
747 -14.088526 -34.990272 178.451347 -11.822257 25.657544 188.350785 27.220744 -31.841964 177.395654 21.985002 26.234198 188.394582 -15.245345 -1.425183 186.577785 4.933836 59.712404 185.980701 26.603031 -1.530837 186.312258 0 0 0 0 0.00119 0 0.000028 -0.608127 0.175306 -134.934742 135.285355 -166.603022 165.386768 -113.581577 122.444466 -126.472495 133.459666 -76.429141 -73.620147 -13.710843 -16.420225 88.082271 88.880518 0
778 -14.088246 -34.987882 178.45906 -11.827622 25.662908 188.381052 27.220213 -31.845489 177.395403 21.981655 26.232675 188.40121 -15.246651 -1.423486 186.605799 4.929809 59.71126 185.979736 26.602674 -1.532345 186.317873 0 0 0 0 0.001331 0 0.000035 -0.606466 0.1978 -134.896592 135.292192 -166.589913 165.376981 -113.425568 122.453698 -126.680169 133.452912 -76.397797 -73.610953 -13.742008 -16.429439 88.081471 88.87997 0
813 -14.087912 -34.985346 178.468609 -11.834036 25.66821 188.415813 27.219364 -31.848574 177.395272 21.978159 26.230937 188.408411 -15.247686 -1.4219 186.635697 4.925779 59.710491 185.979331 26.602209 -1.533484 186.323678 0 0 0 0 0.001402 0 0.000036 -0.602977 0.219853 -134.858739 135.298446 -166.573551 165.367598 -113.273396 122.459283 -126.868587 133.445296 -76.364834 -73.601782 -13.775009 -16.438558 88.079072 88.88041 0
843 -14.087614 -34.982792 178.478956 -11.839823 25.673231 188.451803 27.218354 -31.851321 177.39532 21.974666 26.22923 188.415837 -15.248801 -1.420637 186.66743 4.921496 59.709758 185.979664 26.60192 -1.534378 186.329854 0 0 0 0 0.001413 0 0.000049 -0.602369 0.245072 -134.81495 135.305095 -166.563168 165.358431 -113.073143 122.462597 -127.125822 133.439589 -76.331699 -73.592451 -13.808132 -16.44781 88.077019 88.881232 0
875 -14.087078 -34.979263 178.490865 -11.84603 25.678334 188.489795 27.217641 -31.854004 177.396011 21.971247 26.227769 188.423336 -15.249896 -1.418351 186.701989 4.916217 59.711307 185.983145 26.601633 -1.535138 186.336064 0 0 0 0 0.001405 0 0.000042 -0.600639 0.26911 -134.774243 135.312464 -166.549435 165.348158 -112.886934 122.470847 -127.365116 133.428464 -76.296767 -73.582739 -13.843045 -16.457398 88.07489 88.882664 0
910 -14.086366 -34.975228 178.506649 -11.852117 25.683218 188.528109 27.217188 -31.856287 177.397239 21.967766 26.226506 188.43075 -15.251954 -1.415809 186.740029 4.909946 59.714663 185.988748 26.601061 -1.535373 186.342824 0 0 0 0 0.001504 0 0.000041 -0.596983 0.293143 -134.733019 135.319304 -166.5332 165.339235 -112.70183 122.48059 -127.601639 133.419164 -76.259831 -73.574124 -13.879995 -16.465931 88.07242 88.883556 0
946 -14.085348 -34.971198 178.524625 -11.858238 25.687554 188.566983 27.216354 -31.858575 177.398694 21.964085 26.225433 188.438106 -15.254754 -1.413605 186.779904 4.902948 59.718293 185.995269 26.600477 -1.53548 186.349678 0 0 0 0 0.001581 0 0.000034 -0.589735 0.315109 -134.69579 135.326008 -166.509544 165.330075 -112.557319 122.496156 -127.753449 133.410274 -76.223454 -73.56556 -13.916665 -16.474482 88.068046 88.883465 0
974 -14.084823 -34.965864 178.545439 -11.865905 25.69302 188.611925 27.215624 -31.861129 177.400565 21.960391 26.224598 188.44558 -15.257959 -1.409953 186.821926 4.895187 59.724098 186.005235 26.59952 -1.535889 186.356997 0 0 0 0 0.0016 0 0.000028 -0.580843 0.335873 -134.66147 135.333216 -166.48199 165.320305 -112.432103 122.517862 -127.859693 133.394585 -76.187544 -73.557291 -13.953127 -16.482692 88.061917 88.884046 0
1009 -14.085181 -34.959599 178.571546 -11.87336 25.698501 188.656473 27.214941 -31.864029 177.402866 21.956357 26.223683 188.454044 -15.260555 -1.405334 186.865056 4.884801 59.732789 186.020303 26.598394 -1.536605 186.364353 0 0 0 0 0.001547 0 0.000041 -0.576136 0.359961 -134.619707 135.33963 -166.46307 165.310797 -112.250212 122.546281 -128.048854 133.383153 -76.15281 -73.548927 -13.988404 -16.491058 88.055933 88.883763 0
1042 -14.086102 -34.953505 178.599513 -11.882195 25.703916 188.705277 27.214447 -31.867316 177.406716 21.951929 26.223066 188.463342 -15.263376 -1.401057 186.909688 4.87258 59.742504 186.03977 26.597068 -1.537141 186.372077 0 0 0 0 0.00148 0 0.000039 -0.572665 0.384135 -134.579442 135.347712 -166.448864 165.303534 -112.083424 122.568102 -128.214471 133.380125 -76.124806 -73.541271 -14.016663 -16.498747 88.052367 88.883083 0
1074 -14.087625 -34.948471 178.630698 -11.892976 25.709552 188.758433 27.215135 -31.873012 177.415359 21.947096 26.222059 188.474762 -15.266819 -1.397937 186.954105 4.857987 59.75703 186.068368 26.59466 -1.538307 186.380327 0 0 0 0 0.001462 0 0.000041 -0.571075 0.40995 -134.537056 135.356955 -166.441315 165.299164 -111.880396 122.595941 -128.447562 133.379581 -76.097308 -73.535961 -14.044341 -16.504143 88.049347 88.881709 0
1102 -14.089985 -34.94285 178.66478 -11.90411 25.715572 188.815165 27.296898 -31.883445 177.480006 21.941569 26.220968 188.488722 -15.269862 -1.394773 186.998856 4.841042 59.773785 186.104834 26.590833 -1.540812 186.389363 0 0 0 0 0.001399 0 0.000041 -0.569721 0.434889 -134.494302 135.36408 -166.446873 165.307431 -111.632933 122.60919 -128.762442 133.40866 -76.075296 -73.539001 -14.066598 -16.501502 88.046242 88.876252 0
1134 -14.093691 -34.930119 178.705788 -11.917467 25.723118 188.879192 27.322224 -31.9011 177.526712 21.935369 26.219884 188.504171 -15.272596 -1.38472 187.047029 4.823218 59.796643 186.157024 26.585424 -1.544976 186.399531 0 0 0 0 0.005583 0 0.000211 -0.48869 0.459139 -134.452295 135.370573 -166.462824 165.485444 -111.360523 122.605576 -129.142273 133.963373 -76.057173 -73.640633 -14.084715 -16.412108 88.045123 88.720961 0
1177 -14.097713 -34.917438 178.747332 -11.932308 25.729811 188.944769 27.19833 -32.504815 177.500451 21.929151 26.21946 188.522661 -15.275319 -1.374975 187.093508 4.802352 59.822565 186.222005 26.578793 -1.549543 186.410761 0 0 0 0 0.002971 0 0 -0.455364 0.482083 -134.410162 135.374329 -166.493932 165.583204 -111.044385 122.612399 -129.625207 134.152076 -76.044572 -73.711382 -14.096975 -16.346251 88.046682 88.665417 0
1214 -14.101395 -34.90766 178.785288 -11.947886 25.734681 189.011467 27.089304 -33.023849 177.471697 21.922478 26.219419 188.544381 -15.279669 -1.368368 187.140322 4.779106 59.847212 186.293149 26.571146 -1.555043 186.423314 0 0 0 0 0.001768 0 0.000029 -0.441356 0.501704 -134.37124 135.374647 -166.535111 165.6524 -110.705758 122.592988 -130.173581 133.407287 -76.035447 -73.944867 -14.105719 -16.094947 88.04874 88.898165 0
1245 -14.104928 -34.897298 178.821373 -11.965084 25.738743 189.076936 26.997751 -33.435732 177.446997 21.914065 26.221257 188.571608 -15.285599 -1.361369 187.186849 4.752398 59.871739 186.368668 26.562208 -1.560343 186.437464 0 0 0 0 0.000989 0 0.000008 -0.436325 0.515538 -134.347913 135.37899 -166.569484 165.696833 -110.398849 122.570794 -130.712878 132.822235 -76.019949 -74.123112 -14.121241 -15.904168 88.047582 89.092656 0
1280 -14.10808 -34.886989 178.854883 -11.983479 25.742 189.141786 26.923305 -33.759189 177.425873 21.904558 26.223215 188.605356 -15.293393 -1.354697 187.234724 4.726371 59.89337 186.441588 26.550829 -1.566275 186.453342 0 0 0 0 0.000441 0 -0.000001 -0.435847 0.523497 -134.336971 135.383965 -166.598501 165.726808 -110.126734 122.519673 -131.223833 132.414494 -76.001849 -74.25027 -14.139753 -15.768682 88.04357 89.246555 0
1312 -14.111547 -34.87522 178.887892 -12.002873 25.746307 189.206517 26.861608 -34.007126 177.407193 21.892053 26.225859 188.642931 -15.303357 -1.346724 187.284243 4.691835 59.921974 186.529613 26.53794 -1.572227 186.470699 0 0 0 0 0.000327 0 0 -0.430483 0.524415 -134.341244 135.390074 -166.616251 165.755284 -109.906936 122.419961 -131.686549 132.221229 -75.977367 -74.33655 -14.165118 -15.67712 88.035882 89.361729 0
1347 -14.115293 -34.862161 178.920186 -12.022836 25.751093 189.269006 26.811278 -34.197333 177.392328 21.876229 26.229396 188.684702 -15.316583 -1.33774 187.337625 4.6507 59.949672 186.624527 26.523164 -1.578519 186.489499 0 0 0 0 0.000408 0 0.000003 -0.42518 0.526977 -134.348223 135.402177 -166.624949 165.774588 -109.720079 122.312733 -132.092498 132.147576 -75.949398 -74.388417 -14.19438 -15.621788 88.025143 89.449357 0
