Time LHx LHy LHz LSx LSy LSz RHx RHy RHz RSx RSy RSz LEx LEy LEz CSx CSy CSz REx REy REz v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24
2 -12.524574 -30.669823 180.286062 -10.882044 25.478768 192.821133 28.980899 -30.689245 180.187964 22.746618 25.762233 190.06151 -13.580143 -1.628341 189.513421 5.205118 60.295421 191.401851 28.216371 -2.059528 189.308918 0 0 0 0 0.004529 0 0.000122 -2.894529 4.075975 -131.48823 139.64018 -167.08092 161.291862 -98.764918 164.070122 -154.566212 109.788825 -72.62507 -72.398127 -17.492487 -17.661148 88.037332 88.599595 0
36 -12.545836 -30.133909 180.272865 -10.907356 25.465423 192.760289 28.989032 -30.539721 180.137146 22.725606 25.762782 190.007806 -13.589743 -1.614327 189.449012 5.159976 60.283542 191.346145 28.204075 -2.056042 189.229357 0 0 0 0 0.005682 0 0.000005 -2.794942 4.066464 -131.492194 139.625121 -166.895816 161.305933 -98.708348 163.440417 -154.757649 110.3715 -72.384282 -72.334889 -17.734407 -17.729111 88.01604 88.542482 0
67 -12.567237 -29.619288 180.291545 -10.931828 25.453293 192.707074 28.993931 -30.422258 180.087864 22.704677 25.762764 189.956236 -13.599154 -1.602005 189.389729 5.119818 60.271901 191.298497 28.193012 -2.050763 189.152801 0 0 0 0 0.005485 0 -0.000038 -2.703573 4.062384 -131.489611 139.614379 -166.746171 161.339024 -98.650177 162.870165 -154.847293 110.87713 -72.175653 -72.302812 -17.943216 -17.765206 88.004393 88.496155 0
104 -12.580891 -29.198265 180.316043 -10.9547 25.443551 192.661214 28.993753 -30.327967 180.035508 22.683449 25.760734 189.90345 -13.60817 -1.591039 189.336085 5.070081 60.246265 191.246164 28.183281 -2.042135 189.078414 0 0 0 0 0.004752 0 -0.000026 -2.6327 4.06748 -131.477463 139.612423 -166.643652 161.378252 -98.587296 162.362532 -154.858571 111.314295 -72.020993 -72.287487 -18.098259 -17.783813 87.993709 88.459659 0
135 -12.590854 -28.864357 180.341685 -10.976908 25.433114 192.619956 28.992391 -30.255044 179.988468 22.662614 25.758216 189.852464 -13.616543 -1.582148 189.288139 5.003178 60.187078 191.17645 28.171948 -2.030942 189.005709 0 0 0 0 0.003972 0 0.000005 -2.586213 4.084741 -131.45672 139.626203 -166.579423 161.406996 -98.523613 162.01729 -154.825068 111.630641 -71.918056 -72.277875 -18.202917 -17.795531 87.974267 88.436665 0
175 -12.598573 -28.604704 180.366611 -10.997113 25.423983 192.583811 28.990242 -30.197558 179.944408 22.642845 25.755471 189.804006 -13.624652 -1.575229 189.245021 4.945394 60.141432 191.117048 28.158715 -2.019301 188.935018 0 0 0 0 0.003675 0 0.000008 -2.545859 4.103666 -131.434013 139.641344 -166.546698 161.45498 -98.459189 161.673389 -154.786222 111.95428 -71.856488 -72.288995 -18.266545 -17.786603 87.954047 88.413884 0
203 -12.603824 -28.406173 180.386221 -11.015642 25.415707 192.552209 28.986681 -30.150345 179.901135 22.622715 25.752056 189.755654 -13.632809 -1.569735 189.206302 4.898161 60.102659 191.06611 28.144962 -2.007442 188.867867 0 0 0 0 0.00318 0 0.000011 -2.511569 4.120847 -131.410299 139.651994 -166.540092 161.516954 -98.398735 161.288177 -154.73377 112.3069 -71.828354 -72.311315 -18.296868 -17.76669 87.934484 88.389656 0
236 -12.605125 -28.298816 180.391395 -11.032955 25.407973 192.524874 28.983495 -30.112076 179.860985 22.604603 25.749442 189.712274 -13.640906 -1.565883 189.172113 4.857025 60.071081 191.023636 28.131577 -1.994903 188.806546 0 0 0 0 0.00267 0 0.000013 -2.486776 4.139452 -131.3847 139.663603 -166.546275 161.572723 -98.342769 161.006971 -154.677871 112.60203 -71.818821 -72.334784 -18.308847 -17.745453 87.91387 88.36767 0
272 -12.605143 -28.21745 180.395198 -11.052106 25.400063 192.501009 28.979221 -30.080864 179.821539 22.586448 25.74639 189.669752 -13.648592 -1.563155 189.14237 4.822594 60.047042 190.98649 28.118834 -1.984023 188.749337 0 0 0 0 0.002131 0 0.000017 -2.468628 4.156083 -131.357615 139.669781 -166.566248 161.628992 -98.290068 160.712745 -154.646555 112.895113 -71.829418 -72.358973 -18.301015 -17.723484 87.891855 88.346171 0
309 -12.604736 -28.156272 180.398345 -11.06974 25.393143 192.480636 28.968468 -30.051905 179.77494 22.568998 25.742808 189.629424 -13.65588 -1.561475 189.117253 4.792939 60.025513 190.952575 28.105181 -1.973021 188.694632 0 0 0 0 0.001862 0 0.000031 -2.458196 4.176179 -131.324116 139.676474 -166.590863 161.674471 -98.224277 160.501431 -154.65168 113.123866 -71.844646 -72.380043 -18.288613 -17.704285 87.86982 88.328336 0
