Time LHx LHy LHz LSx LSy LSz RHx RHy RHz RSx RSy RSz LEx LEy LEz CSx CSy CSz REx REy REz v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24
32 -19.206524 -29.422402 182.565355 -17.489789 25.088292 196.532762 22.362271 -32.383725 182.092679 15.932436 26.502997 194.685078 -20.084451 -1.122128 193.600619 -1.918801 59.92769 193.959916 21.104766 -0.847444 192.797422 0 0 0 0 0.00174 65 0.000027 -0.400967 2.558773 -133.671137 138.788682 -163.76256 162.960625 -99.401663 136.864512 -160.621876 134.60753 -68.616126 -71.19818 -21.450265 -18.916588 88.391615 87.993872 0
67 -19.201085 -29.439253 182.582712 -17.488983 25.089681 196.297991 22.442344 -32.395902 182.14978 15.922871 26.507342 194.666278 -20.106925 -1.126699 193.558514 -1.885202 59.985167 193.772304 21.104383 -0.870055 192.817259 0 0 0 0 0.001487 65 0.000023 -0.202409 2.42546 -133.830379 138.681299 -163.418814 163.013996 -99.804598 136.473793 -159.849586 134.61568 -68.706781 -71.26447 -21.363793 -18.869209 88.344481 87.837605 0
99 -19.193159 -29.459918 182.593322 -17.478286 25.096831 196.075261 22.516568 -32.408425 182.193255 15.917774 26.51335 194.644773 -20.129952 -1.130833 193.492448 -1.837472 60.04355 193.589771 21.105286 -0.890127 192.83452 0 0 0 0 0.000994 65 0.000046 -0.021826 2.288546 -134.002342 138.579434 -163.098904 163.055253 -100.296405 135.919664 -158.804605 134.613913 -68.82028 -71.321242 -21.255218 -18.830587 88.291308 87.69789 0
132 -19.183271 -29.484692 182.599735 -17.454104 25.112364 195.854211 22.587326 -32.436925 182.222223 15.917432 26.522303 194.617975 -20.148033 -1.132111 193.393672 -1.776075 60.115397 193.407691 21.107209 -0.907035 192.848885 0 0 0 0 0.000286 65 -0.000001 0.105965 2.173364 -134.139369 138.486097 -162.866098 163.078028 -100.813906 135.334865 -157.563126 134.612239 -68.967122 -71.361579 -21.114131 -18.807718 88.232249 87.570746 0
168 -19.166078 -29.524669 182.595122 -17.402953 25.135419 195.597041 22.664507 -32.496697 182.228923 15.92564 26.53656 194.582355 -20.151886 -1.14094 193.248904 -1.696305 60.197812 193.22418 21.111144 -0.924022 192.859232 0 0 0 0 -0.001046 65 0.000008 0.171858 2.061369 -134.261131 138.383869 -162.743523 163.087239 -101.356485 134.760619 -156.157212 134.608441 -69.169 -71.393484 -20.91793 -18.792825 88.178566 87.452894 0
200 -19.139807 -29.588124 182.576346 -17.350291 25.158608 195.360708 22.732055 -32.554731 182.217467 15.941817 26.554003 194.536519 -20.139515 -1.164757 193.062127 -1.605974 60.267574 193.048728 21.117461 -0.941113 192.866373 0 0 0 0 -0.00263 65 0.000054 0.196113 1.92099 -134.418508 138.260487 -162.692081 163.084307 -102.048654 134.174794 -154.419687 134.671986 -69.437825 -71.412898 -20.654018 -18.791849 88.137606 87.330368 0
232 -19.102411 -29.663095 182.533681 -17.300808 25.184211 195.148218 22.792165 -32.607871 182.184327 15.967146 26.576069 194.478917 -20.115557 -1.194068 192.849147 -1.511533 60.330933 192.886317 21.12795 -0.95796 192.866766 0 0 0 0 -0.004512 65 0.000019 0.105256 1.812357 -134.499678 138.124393 -162.829484 163.039995 -102.485006 133.749838 -153.076719 134.644981 -69.761771 -71.406696 -20.334047 -18.81374 88.110029 87.229011 0
264 -19.05621 -29.738301 182.46603 -17.250985 25.206465 194.944859 22.853376 -32.6583 182.1136 16.000623 26.596913 194.407678 -20.086603 -1.220286 192.630231 -1.416097 60.381359 192.735624 21.14559 -0.97909 192.854702 0 0 0 0 -0.00559 65 0.000048 -0.063277 1.733397 -134.501135 137.96793 -163.082982 162.956428 -102.669359 133.547402 -152.206276 134.53929 -70.094135 -71.373449 -20.005725 -18.859659 88.083657 87.14784 0
297 -18.999068 -29.826248 182.36146 -17.187464 25.216311 194.737828 22.912486 -32.706738 182.011092 16.04784 26.611748 194.31777 -20.048213 -1.25497 192.400956 -1.289208 60.38385 192.550433 21.173465 -1.008777 192.82788 0 0 0 0 -0.006025 65 0.00001 -0.255591 1.65853 -134.495532 137.812591 -163.336759 162.825577 -102.797118 133.574271 -151.51373 134.410437 -70.39507 -71.295606 -19.709559 -18.948232 88.050735 87.077361 0
328 -18.933764 -29.91558 182.228649 -17.126682 25.217679 194.551003 22.97018 -32.747158 181.887293 16.111167 26.615039 194.200587 -20.010497 -1.291605 192.194939 -1.153556 60.352629 192.365611 21.216826 -1.05322 192.775798 0 0 0 0 -0.006652 65 -0.000017 -0.453335 1.560891 -134.530497 137.652279 -163.556321 162.649651 -102.967234 133.827725 -150.858217 134.186749 -70.651399 -71.18432 -19.458197 -19.06656 88.015853 87.027739 0
360 -18.867721 -30.002725 182.076025 -17.064974 25.216824 194.383633 23.022993 -32.777795 181.715131 16.183026 26.607296 194.065392 -19.969308 -1.329727 192.007434 -1.001601 60.257661 192.16373 21.264799 -1.100906 192.709947 0 0 0 0 -0.005654 65 -0.000045 -0.615367 1.471499 -134.568733 137.511731 -163.682322 162.451587 -103.133905 134.411009 -150.306415 133.79316 -70.815491 -71.06664 -19.300555 -19.186736 87.965439 87.00502 0
398 -18.806773 -30.073979 181.920707 -17.012253 25.21514 194.248188 23.061225 -32.798219 181.521881 16.251323 26.595312 193.92252 -19.930081 -1.35995 191.846108 -0.875603 60.194236 192.002726 21.328349 -1.164321 192.592025 0 0 0 0 -0.005581 65 -0.000013 -0.785027 1.392517 -134.601406 137.386441 -163.753036 162.182982 -103.280956 135.279884 -149.921158 133.333495 -70.908615 -70.885768 -19.213048 -19.366703 87.920904 86.998429 0
429 -18.753308 -30.135098 181.771147 -16.962644 25.211549 194.133341 23.084183 -32.820204 181.283379 16.325468 26.575318 193.77327 -19.889975 -1.387027 191.701782 -0.764495 60.140181 191.86455 21.394892 -1.234375 192.455697 0 0 0 0 -0.003578 65 -0.000038 -0.901352 1.349254 -134.607065 137.305572 -163.795997 161.993294 -103.336386 135.791979 -149.779136 132.980909 -70.945107 -70.739474 -19.181278 -19.504508 87.882514 87.040183 0
460 -18.706779 -30.192477 181.624222 -16.914879 25.207007 194.036531 23.103938 -32.837677 181.06941 16.415061 26.548603 193.611705 -19.846848 -1.41592 191.566753 -0.655788 60.057896 191.724586 21.460636 -1.296882 192.316687 0 0 0 0 -0.003497 65 0.00001 -1.031996 1.323676 -134.590303 137.237654 -163.836841 161.772849 -103.335581 136.193624 -149.794521 132.711341 -70.957023 -70.546361 -19.172154 -19.683833 87.85974 87.113516 0
496 -18.668249 -30.23777 181.490314 -16.869262 25.203335 193.955278 23.114792 -32.788748 180.876327 16.51026 26.521015 193.457103 -19.804591 -1.438787 191.445577 -0.561808 60.009474 191.610098 21.526606 -1.354019 192.177129 0 0 0 0 -0.00328 65 0.00003 -1.154756 1.299671 -134.54679 137.146132 -163.895255 161.585742 -103.263446 136.750535 -150.004297 132.399795 -70.953421 -70.398596 -19.176245 -19.818181 87.85551 87.190518 0
528 -18.634592 -30.275351 181.366408 -16.818745 25.198475 193.879318 23.123248 -32.765108 180.698347 16.60796 26.490322 193.302512 -19.759692 -1.458791 191.335738 -0.482099 59.971052 191.515732 21.593195 -1.4049 192.034638 0 0 0 0 -0.003033 65 0.000047 -1.274764 1.283768 -134.484878 137.052413 -163.960601 161.411073 -103.158519 137.119193 -150.272635 132.135064 -70.944459 -70.2497 -19.1841 -19.952588 87.864291 87.277964 0
565 -18.602496 -30.304605 181.250715 -16.77193 25.192961 193.813932 23.124786 -32.753691 180.527031 16.696155 26.464731 193.165386 -19.712435 -1.474078 191.234851 -0.417479 59.949213 191.44187 21.662448 -1.44333 191.887069 0 0 0 0 -0.002146 65 0.000035 -1.366472 1.279177 -134.421854 136.980208 -164.015227 161.282283 -103.080191 137.450027 -150.504664 131.875828 -70.92999 -70.147529 -19.195794 -20.040157 87.886869 87.372896 0
