Time LHx LHy LHz LSx LSy LSz RHx RHy RHz RSx RSy RSz LEx LEy LEz CSx CSy CSz REx REy REz v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24
20 -11.657903 -32.894552 185.862136 -12.092675 25.910929 199.903381 27.196601 -32.840303 184.748375 21.58767 26.453272 197.123194 -14.772396 -0.711923 197.432709 3.880588 60.13394 196.186745 27.314311 -0.942305 195.636547 0 0 0 0 -0.00096 3 0.000046 -0.797114 3.544635 -131.375413 138.464683 -161.863803 160.269576 -100.053901 148.278497 -149.59637 114.122498 -70.32479 -71.170959 -20.412767 -18.830395 84.776212 -89.782306 0
52 -11.654806 -32.906532 185.852146 -12.080958 25.907481 199.90989 27.205452 -32.925904 184.71415 21.602732 26.449949 197.138143 -14.755994 -0.721491 197.431135 3.903211 60.122049 196.192873 27.315924 -0.948061 195.640695 0 0 0 0 -0.001425 3 0.000018 -0.791301 3.520931 -131.369254 138.411117 -161.883132 160.300529 -100.024415 147.945214 -149.817751 114.541434 -70.309912 -71.153118 -20.421582 -18.848024 84.796506 -89.799904 0
85 -11.653102 -32.914937 185.843837 -12.069468 25.904316 199.916542 27.214366 -32.975841 184.690678 21.61696 26.44679 197.152388 -14.74084 -0.729937 197.429407 3.926749 60.109764 196.200538 27.317604 -0.954082 195.644736 0 0 0 0 -0.00153 3 0.000019 -0.789195 3.499517 -131.361605 138.360639 -161.906969 160.328579 -99.993907 147.60869 -150.040046 114.937678 -70.297324 -71.135263 -20.427491 -18.865737 84.819385 -89.812698 0
117 -11.652534 -32.920867 185.836816 -12.057925 25.901493 199.923277 27.225232 -33.017749 184.671664 21.635757 26.4451 197.171044 -14.726946 -0.737838 197.427309 3.948708 60.103011 196.210301 27.319384 -0.960071 195.648658 0 0 0 0 -0.00162 3 0.000006 -0.7892 3.478984 -131.356057 138.314025 -161.931089 160.352689 -99.968715 147.300045 -150.240293 115.297096 -70.286242 -71.115211 -20.432026 -18.885659 84.842062 -89.825222 0
153 -11.653066 -32.924631 185.830545 -12.047011 25.898984 199.930024 27.238789 -33.054236 184.654009 21.653643 26.44383 197.188818 -14.714287 -0.744935 197.425091 3.971433 60.099268 196.222174 27.321336 -0.966445 195.652521 0 0 0 0 -0.001823 3 0.000099 -0.780578 3.44712 -131.353109 138.247349 -161.955171 160.394016 -99.949347 146.820991 -150.414733 115.762416 -70.276691 -71.09816 -20.435259 -18.902562 84.864174 -89.8408 0
184 -11.652424 -32.927644 185.825717 -12.036732 25.896725 199.936879 27.255926 -33.090666 184.640253 21.670842 26.441717 197.206068 -14.701691 -0.751639 197.422361 3.992521 60.095698 196.234393 27.323583 -0.973988 195.656383 0 0 0 0 -0.001744 3 -0.000009 -0.772145 3.416338 -131.351529 138.184205 -161.978913 160.434623 -99.932709 146.372968 -150.575238 116.227032 -70.267753 -71.080234 -20.43805 -18.920319 84.885831 -89.860569 0
217 -11.650231 -32.930526 185.819507 -12.02162 25.878397 199.944437 27.273515 -33.124387 184.629142 21.688353 26.435566 197.222435 -14.687964 -0.760244 197.418451 4.03023 59.888941 196.239567 27.32572 -0.982555 195.660579 0 0 0 0 -0.001209 3 -0.000001 -0.762233 3.390848 -131.34652 138.128215 -162.005413 160.480947 -99.911833 145.956642 -150.73591 116.696467 -70.261751 -71.067896 -20.438611 -18.932475 84.905287 -89.88583 0
249 -11.648832 -32.933125 185.813308 -12.00545 25.858319 199.951446 27.285182 -33.14009 184.623134 21.704192 26.429832 197.237194 -14.675134 -0.768398 197.414577 4.065434 59.776103 196.251965 27.327859 -0.990627 195.664728 0 0 0 0 -0.002181 3 -0.000055 -0.751072 3.351461 -131.371257 138.074178 -162.029223 160.52708 -99.916199 145.628182 -150.848719 117.15233 -70.254314 -71.057229 -20.440848 -18.942991 84.923778 -89.91198 0
285 -11.647895 -32.935971 185.806739 -11.989889 25.838646 199.958515 27.298087 -33.140442 184.622133 21.719231 26.424488 197.251678 -14.662679 -0.776868 197.410786 4.093811 59.706706 196.267724 27.330068 -0.998116 195.66884 0 0 0 0 -0.002729 3 -0.000062 -0.74412 3.308993 -131.408425 138.026411 -162.049616 160.561376 -99.933593 145.353369 -150.92544 117.512945 -70.246938 -71.045204 -20.443083 -18.954943 84.942127 -89.928067 0
317 -11.647778 -32.939497 185.800111 -11.975276 25.820434 199.965262 27.310807 -33.139774 184.624028 21.733917 26.419443 197.266269 -14.650247 -0.785715 197.406721 4.113832 59.65873 196.280932 27.332437 -1.005306 195.673001 0 0 0 0 -0.002605 3 -0.000032 -0.737216 3.268012 -131.445212 137.981236 -162.069746 160.595315 -99.948762 145.087152 -151.006539 117.862351 -70.238807 -71.033135 -20.446027 -18.966947 84.960641 -89.946087 0
