Time LHx LHy LHz LSx LSy LSz RHx RHy RHz RSx RSy RSz LEx LEy LEz CSx CSy CSz REx REy REz v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v18 v19 v20 v21 v22 v23 v24 v25 v26
381 -41.975754 -29.172537 281.774449 -42.440841 29.360679 298.534918 -2.761382 -26.906782 283.544302 -6.793347 31.542748 300.72186 -44.942316 2.7867 294.411683 -24.584809 66.098505 297.169709 -1.777173 4.545233 296.594286 0 0 0 0 0.003894 0 0.000027 -0.999288 -0.056743 -133.003769 132.890282 -163.68267 161.684094 -98.619523 108.060544 -159.934602 144.94446 -68.548087 -67.447041 -22.066427 -22.621573 85.070094 -88.32994 0 
413 -41.973504 -29.160339 281.759715 -42.443541 29.360509 298.530197 -2.750345 -26.889068 283.57265 -6.796799 31.542814 300.708961 -44.943935 2.786277 294.405913 -24.583609 66.103518 297.156405 -1.77775 4.544997 296.591568 0 0 0 0 0.002035 0 -0.000012 -0.981028 -0.041997 -132.994017 132.910023 -163.651536 161.689481 -98.606364 108.136582 -159.971848 144.804063 -68.509215 -67.475517 -22.105326 -22.59198 85.066457 -88.344429 0 
446 -41.970283 -29.170102 281.747007 -42.44605 29.360369 298.525667 -2.739288 -26.872328 283.600569 -6.806046 31.545517 300.691223 -44.945136 2.785331 294.40074 -24.582338 66.108835 297.142935 -1.7784 4.54484 296.58854 0 0 0 0 0.001918 0 -0.000006 -0.962011 -0.029778 -132.983496 132.923939 -163.633074 161.709052 -98.592818 108.180839 -159.990559 144.710896 -68.487926 -67.51202 -22.128012 -22.554091 85.058849 -88.362585 0 
483 -41.965675 -29.188195 281.734157 -42.448363 29.360276 298.521447 -2.728588 -26.858416 283.626604 -6.81552 31.551796 300.676084 -44.946596 2.784856 294.396234 -24.581216 66.114229 297.128344 -1.77898 4.545151 296.58556 0 0 0 0 0.001665 0 0.00002 -0.956408 -0.008148 -132.972821 132.956525 -163.62729 161.714475 -98.578522 108.280442 -160.006649 144.548394 -68.481881 -67.549076 -22.135336 -22.515643 85.0531 -88.38098 0 
511 -41.957104 -29.211447 281.714606 -42.451048 29.358047 298.51594 -2.715132 -26.844174 283.651638 -6.827858 31.561264 300.655794 -44.948098 2.784421 294.392109 -24.580501 66.119105 297.114944 -1.779404 4.545546 296.583462 0 0 0 0 0.001312 0 -0.000018 -0.950022 0.007007 -132.962406 132.976421 -163.622661 161.722618 -98.565173 108.368777 -160.016249 144.396281 -68.480018 -67.585313 -22.138943 -22.478067 85.04585 -88.398862 0 
548 -41.946557 -29.238412 281.688809 -42.453578 29.35566 298.510385 -2.702327 -26.829499 283.674145 -6.842611 31.573585 300.635076 -44.949827 2.783912 294.387984 -24.579133 66.124731 297.101641 -1.779796 4.545993 296.581531 0 0 0 0 0.001449 0 0.000011 -0.944292 0.025178 -132.956711 133.007068 -163.606484 161.7179 -98.553231 108.502591 -160.032128 144.206523 -68.470609 -67.618456 -22.151298 -22.443243 85.033058 -88.421178 0 
579 -41.942459 -29.270083 281.664777 -42.456207 29.353929 298.506093 -2.692131 -26.816672 283.69534 -6.855029 31.587258 300.619292 -44.951475 2.783936 294.384646 -24.577729 66.131139 297.086906 -1.780972 4.546037 296.578765 0 0 0 0 0.0015 0 0 -0.938588 0.044306 -132.95128 133.039892 -163.582222 161.705045 -98.542768 108.654897 -160.052031 143.994958 -68.453917 -67.64721 -22.171468 -22.412904 85.017468 -88.442403 0 
615 -41.937828 -29.309204 281.65586 -42.458659 29.352054 298.502207 -2.682965 -26.804793 283.714986 -6.858943 31.594047 300.609016 -44.953349 2.783654 294.381309 -24.577488 66.135794 297.068882 -1.782713 4.545255 296.574926 0 0 0 0 0.000942 0 -0.000017 -0.933059 0.054432 -132.943721 133.052586 -163.569813 161.703695 -98.530141 108.76517 -160.087546 143.828879 -68.441565 -67.676223 -22.184567 -22.382553 85.013326 -88.460647 0 
645 -41.938436 -29.342285 281.656027 -42.462 29.352051 298.499751 -2.690991 -26.9425 283.721995 -6.863008 31.600344 300.598359 -44.955161 2.785936 294.377351 -24.575786 66.140205 297.046757 -1.783955 4.545603 296.571398 0 0 0 0 0.000284 0 0.000009 -0.927363 0.053473 -132.937597 133.044544 -163.57842 161.723694 -98.520219 108.795148 -160.087637 143.771599 -68.456849 -67.704616 -22.170926 -22.352891 85.008095 -88.47814 0 
686 -41.942859 -29.390597 281.67963 -42.465219 29.352248 298.497748 -2.688495 -26.968166 283.731222 -6.865128 31.60547 300.590825 -44.957262 2.78857 294.373918 -24.574962 66.144156 297.026658 -1.785384 4.546158 296.56775 0 0 0 0 0.001239 0 0.000032 -0.911731 0.058616 -132.922929 133.040161 -163.606564 161.783102 -98.503644 108.832872 -160.090445 143.659174 -68.48461 -67.809332 -22.143168 -22.248836 85.01062 -88.472253 0 
